Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (fJ)
priorityencoder,sky90,8,7994,0.12495882036527395,60.760001,44.346,13.42057730723042
priorityencoder,sky90,16,5761,0.16976997552508244,136.220003,77.243,21.28915493084534
priorityencoder,sky90,32,4776,0.20887023450586265,379.260006,246.78,50.06619521105528
priorityencoder,sky90,64,4096,0.244021625,794.780014,364.853,72.71844425000002
priorityencoder,sky90,128,3409,0.2933331557641537,1602.300031,610.009,126.1332569785861
add,sky90,8,3652,0.2733695629791895,245.000005,139.276,101.6934774282585
add,sky90,16,2931,0.33991248447628797,623.280012,352.919,268.5308627362675
add,sky90,32,2420,0.4132191404958678,1330.840024,582.809,520.6561170247934
add,sky90,64,2139,0.4674681813931744,2781.240054,1050.0,939.1435764188874
add,sky90,128,1885,0.5304949787798409,6186.740118,2230.0,2147.9741690795754
csa,sky90,8,5740,0.16671402787456446,290.080006,207.654,143.04063591637635
csa,sky90,16,5984,0.16522529946524064,588.000011,322.135,321.19798216042784
csa,sky90,32,5740,0.16671402787456446,1160.320023,826.559,570.4954033867597
csa,sky90,64,5984,0.16522529946524064,2469.600048,1440.0,1354.3517797165773
csa,sky90,128,5984,0.16522529946524064,4897.060095,2990.0,2649.0572263262034
shiftleft,sky90,8,4321,0.23108991020597083,250.880004,181.951,70.25133270261513
shiftleft,sky90,16,3355,0.29803959314456036,666.400006,558.433,195.51397310283156
shiftleft,sky90,32,2500,0.39945200000000003,1400.420023,738.137,368.29474400000004
shiftleft,sky90,64,2203,0.45385946391284615,3914.120062,2680.0,1144.633567988198
shiftleft,sky90,128,1907,0.5242938489774515,9192.400136,6080.0,2900.3935725432616
comparator,sky90,8,4829,0.2066692116380203,198.940004,136.459,48.56726473493477
comparator,sky90,16,4014,0.24886605181863478,355.740006,188.666,62.714245058295965
comparator,sky90,32,3596,0.27763876307007784,697.760013,316.793,109.38967264961067
comparator,sky90,64,3129,0.31954192361776923,1372.980026,508.393,204.82637303899006
comparator,sky90,128,2682,0.37267507755406415,2836.120055,772.571,463.6077964772558
flop,sky90,8,10,0.1143419999999935,133.279999,64.8145,0.22163481569998741
flop,sky90,16,10,0.1143419999999935,266.5599975,129.629,0.4426750529999749
flop,sky90,32,10,0.1143419999999935,533.119995,259.258,0.88306326599995
flop,sky90,64,10,0.1143419999999935,1066.23999,520.0,1.7717864609998994
flop,sky90,128,10,0.1143419999999935,2132.4799805,1035.0,3.537741479999799
mux2,sky90,8,5280,0.1887229393939394,63.700001,23.506,19.476207345454547
mux2,sky90,16,4815,0.20207331983385254,119.560002,32.354,37.76750347694705
mux2,sky90,32,5049,0.21904002158843336,237.160005,57.793,84.98752837631214
mux2,sky90,64,4087,0.2460982481037436,482.160008,124.422,156.51848579398091
mux2,sky90,128,3920,0.25878504081632653,955.500018,279.611,313.9062545102041
mux4,sky90,8,4655,0.21455177121374866,159.740002,86.462,42.03069198077337
mux4,sky90,16,4452,0.22313914914645103,392.0,398.313,103.09028690566036
mux4,sky90,32,3802,0.2622634634402946,465.500009,150.568,139.26189908679646
mux4,sky90,64,3699,0.2695173360367667,877.100017,304.149,274.9076827575021
mux4,sky90,128,3166,0.3157249696778269,1984.500039,725.267,569.5678452987997
mux8,sky90,8,3577,0.2789168803466592,287.140006,116.648,60.83177160360637
mux8,sky90,16,3419,0.2915101822170225,588.000006,280.193,150.71076420620065
mux8,sky90,32,3092,0.33231726520051746,1062.320021,325.058,219.99402956274258
mux8,sky90,64,3020,0.33032882781456957,2207.940042,730.503,445.61358872185434
mux8,sky90,128,2666,0.37501377344336084,3761.240072,1460.0,854.281375903976
mult,sky90,8,1310,0.7631557786259543,2194.220041,1440.0,1420.996059801527
mult,sky90,16,997,1.0029260270812437,7519.540137,4940.0,6375.600754155466
mult,sky90,32,763,1.3106129895150722,25200.700446,14900.0,24931.79089954522
mult,sky90,64,632,1.5822664810126583,86011.661365,42600.0,88845.84517534176
mult,sky90,128,524,1.9083759465648855,296198.144128,114000.0,273311.87793918326
priorityencoder,tsmc28,8,31306,0.03191275857663067,8.316,34.836,1.713715135565067
priorityencoder,tsmc28,16,21202,0.04705136175832468,21.294,73.912,3.815865438600132
priorityencoder,tsmc28,32,16453,0.060740189205615996,62.118,205.801,9.439025402552724
priorityencoder,tsmc28,64,13786,0.07244435673872045,137.088001,428.365,18.328422254896275
priorityencoder,tsmc28,128,11439,0.0874122290410001,315.252,980.365,40.908923191188045
add,tsmc28,8,13787,0.07226709545223761,33.012,176.194,12.328766484151734
add,tsmc28,16,11520,0.08680155555555555,90.972001,475.452,33.67900355555555
add,tsmc28,32,9810,0.1019177991845056,209.286002,1060.0,81.43232154841998
add,tsmc28,64,8203,0.12186861952944045,392.616003,1800.0,142.34254761038645
add,tsmc28,128,7210,0.13869425520110956,868.140006,4090.0,331.3405756754508
