design,area,timing,power
drsu_fd_ieee_div_2_1i_rv32gc_orig_tsmc28nm_100_MHz,4992.875975,0.842029,0.250
drsu_fd_ieee_div_2_1i_rv32gc_orig_tsmc28nm_5000_MHz,8703.953984,0.322472,13.250
drsu_fd_ieee_div_2_1i_rv64gc_orig_tsmc28nm_100_MHz,6266.861978,0.909526,0.322
drsu_fd_ieee_div_2_1i_rv64gc_orig_tsmc28nm_5000_MHz,10271.393987,0.325210,16.889
drsu_fd_ieee_div_2_1_rv32gc_orig_tsmc28nm_100_MHz,3749.759971,0.872067,0.191
drsu_fd_ieee_div_2_1_rv32gc_orig_tsmc28nm_5000_MHz,6856.793971,0.311826,9.311
drsu_fd_ieee_div_2_1_rv64gc_orig_tsmc28nm_100_MHz,3749.759971,0.872067,0.191
drsu_fd_ieee_div_2_1_rv64gc_orig_tsmc28nm_5000_MHz,6706.349971,0.311826,9.275
drsu_fd_ieee_div_2_2i_rv32gc_orig_tsmc28nm_100_MHz,5567.939972,1.535584,0.265
drsu_fd_ieee_div_2_2i_rv32gc_orig_tsmc28nm_5000_MHz,9311.273993,0.456788,13.805
drsu_fd_ieee_div_2_2i_rv64gc_orig_tsmc28nm_100_MHz,6934.283974,1.393005,0.338
drsu_fd_ieee_div_2_2i_rv64gc_orig_tsmc28nm_5000_MHz,11613.797989,0.458209,17.967
drsu_fd_ieee_div_2_2_rv32gc_orig_tsmc28nm_100_MHz,4256.153968,1.533786,0.201
drsu_fd_ieee_div_2_2_rv32gc_orig_tsmc28nm_5000_MHz,7353.359970,0.409850,9.708
drsu_fd_ieee_div_2_2_rv64gc_orig_tsmc28nm_100_MHz,4257.035968,1.533786,0.201
drsu_fd_ieee_div_2_2_rv64gc_orig_tsmc28nm_5000_MHz,6960.113970,0.417639,9.619
drsu_fd_ieee_div_2_4i_rv32gc_orig_tsmc28nm_100_MHz,6557.165967,2.772360,0.286
drsu_fd_ieee_div_2_4i_rv32gc_orig_tsmc28nm_5000_MHz,10635.911990,0.655619,14.948
drsu_fd_ieee_div_2_4i_rv64gc_orig_tsmc28nm_100_MHz,8269.631966,2.985837,0.371
drsu_fd_ieee_div_2_4i_rv64gc_orig_tsmc28nm_5000_MHz,13170.527992,0.691526,18.528
drsu_fd_ieee_div_2_4_rv32gc_orig_tsmc28nm_100_MHz,5206.571963,2.778444,0.218
drsu_fd_ieee_div_2_4_rv32gc_orig_tsmc28nm_5000_MHz,8857.799966,0.510072,10.973
drsu_fd_ieee_div_2_4_rv64gc_orig_tsmc28nm_100_MHz,5206.319963,2.779030,0.218
drsu_fd_ieee_div_2_4_rv64gc_orig_tsmc28nm_5000_MHz,8484.209970,0.510154,10.877
drsu_fd_ieee_div_2_8i_rv32gc_orig_tsmc28nm_100_MHz,8486.225961,5.127367,0.327
drsu_fd_ieee_div_2_8i_rv32gc_orig_tsmc28nm_5000_MHz,12680.135986,0.932180,17.086
drsu_fd_ieee_div_2_8i_rv64gc_orig_tsmc28nm_100_MHz,11090.897957,5.446321,0.433
drsu_fd_ieee_div_2_8i_rv64gc_orig_tsmc28nm_5000_MHz,16600.499978,0.955639,22.645
drsu_fd_ieee_div_2_8_rv32gc_orig_tsmc28nm_100_MHz,7101.359956,5.129587,0.255
drsu_fd_ieee_div_2_8_rv32gc_orig_tsmc28nm_5000_MHz,10376.729975,0.958861,12.915
drsu_fd_ieee_div_2_8_rv64gc_orig_tsmc28nm_100_MHz,7100.981956,5.129519,0.255
drsu_fd_ieee_div_2_8_rv64gc_orig_tsmc28nm_5000_MHz,10263.581977,0.974876,12.842
drsu_fd_ieee_div_4_1i_rv32gc_orig_tsmc28nm_100_MHz,4961.753972,0.974930,0.247
drsu_fd_ieee_div_4_1i_rv32gc_orig_tsmc28nm_5000_MHz,8556.281981,0.414343,13.074
drsu_fd_ieee_div_4_1i_rv64gc_orig_tsmc28nm_100_MHz,6219.737973,1.074810,0.318
drsu_fd_ieee_div_4_1i_rv64gc_orig_tsmc28nm_5000_MHz,10261.313991,0.425170,16.400
drsu_fd_ieee_div_4_1_rv32gc_orig_tsmc28nm_100_MHz,3673.151967,0.971938,0.185
drsu_fd_ieee_div_4_1_rv32gc_orig_tsmc28nm_5000_MHz,6352.415966,0.373265,9.058
