design,area,timing,power
mdudiv_idiv_bitspercycle_16_rv32gc_orig_tsmc28nm_100_MHz,3451.266014,3.911572,9.06e-02
mdudiv_idiv_bitspercycle_16_rv32gc_orig_tsmc28nm_5000_MHz,8542.925994,1.848627,6.871
mdudiv_idiv_bitspercycle_16_rv64gc_orig_tsmc28nm_100_MHz,7446.348031,6.022011,0.175
mdudiv_idiv_bitspercycle_16_rv64gc_orig_tsmc28nm_5000_MHz,17061.030026,2.117894,11.891
mdudiv_idiv_bitspercycle_1_rv32gc_orig_tsmc28nm_100_MHz,744.407994,1.045248,5.07e-02
mdudiv_idiv_bitspercycle_1_rv32gc_orig_tsmc28nm_5000_MHz,984.311997,0.169382,2.425
mdudiv_idiv_bitspercycle_1_rv64gc_orig_tsmc28nm_100_MHz,1553.201991,1.994694,0.101
mdudiv_idiv_bitspercycle_1_rv64gc_orig_tsmc28nm_5000_MHz,2435.327998,0.181016,4.675
mdudiv_idiv_bitspercycle_2_rv32gc_orig_tsmc28nm_100_MHz,849.239993,2.018263,5.21e-02
mdudiv_idiv_bitspercycle_2_rv32gc_orig_tsmc28nm_5000_MHz,1475.459999,0.284573,2.681
mdudiv_idiv_bitspercycle_2_rv64gc_orig_tsmc28nm_100_MHz,1767.275989,3.921505,0.102
mdudiv_idiv_bitspercycle_2_rv64gc_orig_tsmc28nm_5000_MHz,3171.041992,0.315838,5.225
mdudiv_idiv_bitspercycle_4_rv32gc_orig_tsmc28nm_100_MHz,1061.549992,3.976977,5.52e-02
mdudiv_idiv_bitspercycle_4_rv32gc_orig_tsmc28nm_5000_MHz,2395.008001,0.508572,3.123
mdudiv_idiv_bitspercycle_4_rv64gc_orig_tsmc28nm_100_MHz,2197.691987,7.798797,0.108
mdudiv_idiv_bitspercycle_4_rv64gc_orig_tsmc28nm_5000_MHz,5364.953995,0.568016,6.207
mdudiv_idiv_bitspercycle_8_rv32gc_orig_tsmc28nm_100_MHz,1491.335990,7.966755,6.15e-02
mdudiv_idiv_bitspercycle_8_rv32gc_orig_tsmc28nm_5000_MHz,4507.901998,0.952660,4.380
mdudiv_idiv_bitspercycle_8_rv64gc_orig_tsmc28nm_100_MHz,4388.706012,3.029722,0.134
mdudiv_idiv_bitspercycle_8_rv64gc_orig_tsmc28nm_5000_MHz,8785.980009,1.097608,7.610
