0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
design,RADIX_2_K_1,RADIX_2_K_1,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_2,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_4,RADIX_2_K_4,RADIX_2_K_8,RADIX_2_K_8,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_1,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_2,RADIX_4_K_2,RADIX_4_K_4,RADIX_4_K_4,RADIX_4_K_4
drsu_f_ieee_rv32gc_tsmc28nm_100_MHz_IDIV,3.084983984,0.621725,1.62e-09,3.461975982,1.127821,1.7299999999999998e-09,4.239647978,2.136837,1.9100000000000002e-09,5.949845974,4.208057,2.34e-09,3.075911982,0.748807,1.61e-09,3.670757977,1.449549,1.75e-09,4.990355969,3.124029,2.0499999999999997e-09
drsu_fd_ieee_rv32gc_tsmc28nm_100_MHz_IDIV,4.992875975,0.842029,2.5e-09,5.5679399720000005,1.535584,2.65e-09,6.5571659669999995,2.772360,2.8599999999999996e-09,8.486225961,5.127367,3.27e-09,4.961753972,0.974930,2.47e-09,5.705153966,1.769016,2.6100000000000003e-09,7.1753219580000005,3.516583,2.88e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_100_MHz_IDIV,10.520243956,1.404351,4.83e-09,11.676671952000001,2.050259,5.15e-09,13.70930394,3.430090,5.550000000000001e-09,18.234593924000002,7.074033,6.54e-09,10.424609948999999,1.581433,4.8e-09,11.960297934,2.981811,5.08e-09,15.220925911,5.939034,5.6399999999999995e-09
MDU_drsu_f_ieee_rv32gc_tsmc28nm_100_MHz,2.51999998,1.045248,1.443e-09,2.848103978,2.018263,1.491e-09,3.630059974,3.976977,1.6519999999999999e-09,5.395823967,7.966755,2.0349999999999997e-09,2.631761977,2.018263,1.453e-09,3.2006519729999994,3.976977,1.525e-09,4.636043964000001,7.966755,1.815e-09
MDU_drsu_fd_ieee_rv32gc_tsmc28nm_100_MHz,4.494167965,1.045248,2.4170000000000002e-09,5.105393961,2.018263,2.5310000000000005e-09,6.268121955,3.976977,2.732e-09,8.592695946000001,7.966755,3.165e-09,4.52239196,2.018263,2.371e-09,5.441309952999999,3.976977,2.502e-09,7.303337943000001,7.966755,2.795e-09
MDU_drsu_fdq_ieee_rv32gc_tsmc28nm_100_MHz,8.733185934,1.399898,4.547e-09,9.835559928999999,2.062258,4.711e-09,11.996333918,4.147681,5.132e-09,16.705079897,7.966755,6.035000000000001e-09,8.659349925999999,2.018263,4.421e-09,10.330361913,3.976977,4.681999999999999e-09,13.98751189,7.966755,5.2550000000000006e-09
drsu_f_ieee_rv32gc_tsmc28nm_100_MHz,1.775591986,0.530928,9.36e-10,1.998863985,0.983144,9.7e-10,2.568509982,1.879080,1.1e-09,3.9044879769999996,3.753553,1.4199999999999999e-09,1.782521984,0.682410,9.32e-10,2.1391019809999996,1.331992,9.73e-10,3.144707974,2.837434,1.2e-09
drsu_fd_ieee_rv32gc_tsmc28nm_100_MHz,3.749759971,0.872067,1.9100000000000002e-09,4.256153968,1.533786,2.0100000000000003e-09,5.206571963,2.778444,2.18e-09,7.1013599560000005,5.129587,2.55e-09,3.673151967,0.971938,1.85e-09,4.3797599609999995,1.766076,1.95e-09,5.812001953,3.513643,2.18e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_100_MHz,7.98877794,1.399898,4.04e-09,8.986319936,2.062258,4.19e-09,10.934783926,4.147681,4.58e-09,15.213743907,6.889462,5.420000000000001e-09,7.810109933,1.576273,3.9e-09,9.268811921000001,2.979222,4.13e-09,12.4961759,5.933083,4.6400000000000005e-09
mdudiv_idiv_bitspercycle_rv32gc_tsmc28nm_100_MHz,0.744407994,1.045248,5.07e-10,0.8492399930000001,2.018263,5.21e-10,1.061549992,3.976977,5.52e-10,1.49133599,7.966755,6.149999999999999e-10,0.8492399930000001,2.018263,5.21e-10,1.061549992,3.976977,5.52e-10,1.49133599,7.966755,6.149999999999999e-10
drsu_f_ieee_rv64gc_tsmc28nm_100_MHz_IDIV,5.9950799749999995,0.909526,3.0099999999999997e-09,6.663509971000001,1.406063,3.17e-09,7.9991099640000005,2.987292,3.4599999999999996e-09,10.820879954,5.448106,4.09e-09,5.947955971000001,1.074810,2.98e-09,6.966161962,2.006576,3.2e-09,9.143315951,3.992603,3.63e-09
drsu_fd_ieee_rv64gc_tsmc28nm_100_MHz_IDIV,6.266861978,0.909526,3.22e-09,6.9342839739999995,1.393005,3.3800000000000003e-09,8.269631966,2.985837,3.71e-09,11.090897957,5.446321,4.33e-09,6.219737973,1.074810,3.18e-09,7.237313964,2.006569,3.39e-09,9.413333952999999,3.967693,3.8200000000000005e-09
drsu_fdq_ieee_rv64gc_tsmc28nm_100_MHz_IDIV,10.984049961999999,1.198993,5.27e-09,12.106457957,2.014927,5.590000000000001e-09,14.151437945,3.865830,6.04e-09,18.72763193,7.306949,7.04e-09,10.890179953999999,1.581433,5.25e-09,12.42259194,2.984379,5.5000000000000004e-09,15.480863912999999,5.936208,6.07e-09
MDU_drsu_f_ieee_rv64gc_tsmc28nm_100_MHz,3.328793977,1.994694,1.946e-09,3.766139974,3.921505,1.99e-09,4.766201969000001,7.798797,2.18e-09,8.293193988999999,3.753553,2.76e-09,3.549671973,3.921505,1.951e-09,4.336793968,7.798797,2.0530000000000003e-09,7.533413985999999,3.029722,2.54e-09
MDU_drsu_fd_ieee_rv64gc_tsmc28nm_100_MHz,5.3029619619999995,1.994694,2.9200000000000003e-09,6.024311957,3.921505,3.0300000000000005e-09,7.404011950000001,7.798797,3.26e-09,11.489687967999998,5.129519,3.8900000000000004e-09,5.440427956,3.921505,2.8700000000000002e-09,6.577451948,7.798797,3.03e-09,10.200707965,3.513643,3.5200000000000003e-09
MDU_drsu_fdq_ieee_rv64gc_tsmc28nm_100_MHz,9.541979931,1.994694,5.0500000000000006e-09,10.753847925,3.921505,5.22e-09,13.133231913,7.798797,5.660000000000001e-09,19.602449918999998,6.7219,6.760000000000001e-09,9.577511922,3.921505,4.92e-09,11.466503908000002,7.798797,5.21e-09,16.885511912,5.933065,5.9800000000000004e-09
drsu_f_ieee_rv64gc_tsmc28nm_100_MHz,1.775591986,0.530928,9.36e-10,1.998863985,0.983115,9.7e-10,2.568509982,1.879080,1.1e-09,3.9044879769999996,3.753553,1.4199999999999999e-09,1.782395984,0.682410,9.31e-10,2.1391019809999996,1.331992,9.73e-10,3.144707974,2.837434,1.2e-09
drsu_fd_ieee_rv64gc_tsmc28nm_100_MHz,3.749759971,0.872067,1.9100000000000002e-09,4.257035968,1.533786,2.0100000000000003e-09,5.206319963,2.779030,2.18e-09,7.100981956,5.129519,2.55e-09,3.673151967,0.971938,1.85e-09,4.3797599609999995,1.766076,1.95e-09,5.812001953,3.513643,2.18e-09
drsu_fdq_ieee_rv64gc_tsmc28nm_100_MHz,7.98877794,1.399898,4.04e-09,8.986571936,2.234388,4.1999999999999996e-09,10.935539925999999,3.865068,4.58e-09,15.213743907,6.721900,5.420000000000001e-09,7.8102359329999995,1.576273,3.9e-09,9.268811921000001,2.979023,4.13e-09,12.4968059,5.933065,4.6400000000000005e-09
mdudiv_idiv_bitspercycle_rv64gc_tsmc28nm_100_MHz,1.553201991,1.994694,1.01e-09,1.767275989,3.921505,1.02e-09,2.1976919870000002,7.798797,1.08e-09,4.388706011999999,3.029722,1.3400000000000001e-09,1.767275989,3.921505,1.02e-09,2.1976919870000002,7.798797,1.08e-09,4.388706011999999,3.029722,1.3400000000000001e-09
drsu_f_ieee_rv32gc_tsmc28nm_5000_MHz_IDIV,5.1812459959999995,0.284795,1.6472e-09,5.696711994,0.422290,1.7314e-09,7.322363992,0.596330,1.9982e-09,8.960363998,0.965832,2.4822e-09,5.363945988,0.412207,1.7225999999999998e-09,6.11011799,0.559563,1.8136e-09,8.501093985999999,0.765350,2.227e-09
drsu_fd_ieee_rv32gc_tsmc28nm_5000_MHz_IDIV,8.703953984,0.322472,2.65e-09,9.311273993,0.456788,2.761e-09,10.63591199,0.655619,2.9896e-09,12.680135986,0.932180,3.4171999999999997e-09,8.556281981,0.414343,2.6148e-09,9.442439979000001,0.622845,2.728e-09,12.06424799,0.766011,3.2030000000000002e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_5000_MHz_IDIV,16.340561966,0.313979,4.8422e-09,17.887337977999998,0.492686,5.078199999999999e-09,20.607929964,0.740520,5.3914e-09,25.996949976,0.992438,6.3746e-09,16.212041963,0.508015,4.7152000000000004e-09,18.801719955,0.748805,5.0252e-09,23.987375956,0.809967,5.7252e-09
MDU_drsu_f_ieee_rv32gc_tsmc28nm_5000_MHz,4.017635986,0.301744,1.3715999999999999e-09,4.795811989000001,0.36973,1.4825999999999998e-09,6.343721990000001,0.508572,1.7542e-09,10.671191987,0.95266,2.4242e-09,4.7796839890000005,0.325552,1.4374e-09,6.459767987000001,0.508572,1.6525999999999999e-09,10.298105982,0.95266,2.2874e-09
MDU_drsu_fd_ieee_rv32gc_tsmc28nm_5000_MHz,7.841105968,0.311826,2.3472e-09,8.828819969000001,0.40985,2.4778e-09,11.252807967,0.510072,2.8192000000000004e-09,14.884631973000001,0.958861,3.4589999999999997e-09,7.827875965,0.373265,2.3478e-09,10.058957962000001,0.508572,2.543e-09,14.061221974000002,0.95266,3.2485999999999997e-09
MDU_drsu_fdq_ieee_rv32gc_tsmc28nm_5000_MHz,14.926715925,0.330602,4.2714e-09,15.727319947,0.446972,4.478e-09,20.486465935,0.583101,4.987e-09,26.185445956,0.977668,6.2244e-09,14.588531929,0.461435,4.1968e-09,17.886203914,0.541933,4.4404e-09,22.894955948000003,0.95266,5.4572e-09
drsu_f_ieee_rv32gc_tsmc28nm_5000_MHz,3.033323989,0.301744,8.865999999999999e-10,3.3203519900000003,0.369730,9.464e-10,3.948713989,0.500001,1.1296e-09,6.163289989,0.946622,1.5481999999999999e-09,3.30422399,0.325552,9.012000000000001e-10,4.064759986,0.415781,1.028e-09,5.790203984,0.753221,1.4114000000000001e-09
drsu_fd_ieee_rv32gc_tsmc28nm_5000_MHz,6.856793971,0.311826,1.8622e-09,7.3533599700000005,0.409850,1.9416e-09,8.857799966,0.510072,2.1946000000000003e-09,10.376729975,0.958861,2.583e-09,6.352415966,0.373265,1.8116e-09,7.663949961,0.466846,1.9184e-09,9.553319976000001,0.756815,2.3726e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_5000_MHz,13.942403928,0.330602,3.7864e-09,14.251859948,0.446972,3.9418e-09,18.091457933999997,0.583101,4.3624000000000006e-09,21.677543957999998,0.977668,5.3484e-09,13.11307193,0.461435,3.6606000000000004e-09,15.491195913,0.541933,3.8158e-09,18.387053950000002,0.780194,4.5812e-09
mdudiv_idiv_bitspercycle_rv32gc_tsmc28nm_5000_MHz,0.984311997,0.169382,4.85e-10,1.475459999,0.284573,5.362e-10,2.3950080010000003,0.508572,6.246e-10,4.507901998,0.952660,8.76e-10,1.475459999,0.284573,5.362e-10,2.3950080010000003,0.508572,6.246e-10,4.507901998,0.952660,8.76e-10
drsu_f_ieee_rv64gc_tsmc28nm_5000_MHz_IDIV,9.857861985,0.308583,3.1422e-09,10.719953992999999,0.464331,3.2316000000000003e-09,13.000427975000001,0.641653,3.6095999999999996e-09,15.606107969999998,0.958515,4.1842e-09,9.391913978,0.413446,3.035e-09,11.650337974,0.601878,3.3084000000000003e-09,14.486597972,0.768011,3.8491999999999995e-09
drsu_fd_ieee_rv64gc_tsmc28nm_5000_MHz_IDIV,10.271393987,0.325210,3.3778e-09,11.613797989,0.458209,3.5933999999999996e-09,13.170527992,0.691526,3.7055999999999997e-09,16.600499978,0.955639,4.5289999999999996e-09,10.261313991000002,0.425170,3.28e-09,12.226409975000001,0.623010,3.6008000000000002e-09,15.841979976000001,0.776980,4.1945999999999996e-09
