design,area,area,area,area,area,area,area,delay,delay,delay,delay,delay,delay,delay,energy,energy,energy,energy,energy,energy,energy
design,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4
drsu_f_ieee_rv32gc_tsmc28nm_100_MHz_IDIV,3.084983984,3.461975982,4.239647978,5.949845974,3.075911982,3.670757977,4.990355969,0.621725,1.127821,2.136837,4.208057,0.748807,1.449549,3.124029,1.62e-09,1.7299999999999998e-09,1.9100000000000002e-09,2.34e-09,1.61e-09,1.75e-09,2.0499999999999997e-09
drsu_fd_ieee_rv32gc_tsmc28nm_100_MHz_IDIV,4.992875975,5.5679399720000005,6.5571659669999995,8.486225961,4.961753972,5.705153966,7.1753219580000005,0.842029,1.535584,2.772360,5.127367,0.974930,1.769016,3.516583,2.5e-09,2.65e-09,2.8599999999999996e-09,3.27e-09,2.47e-09,2.6100000000000003e-09,2.88e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_100_MHz_IDIV,10.520243956,11.676671952000001,13.70930394,18.234593924000002,10.424609948999999,11.960297934,15.220925911,1.404351,2.050259,3.430090,7.074033,1.581433,2.981811,5.939034,4.83e-09,5.15e-09,5.550000000000001e-09,6.54e-09,4.8e-09,5.08e-09,5.6399999999999995e-09
MDU_drsu_f_ieee_rv32gc_tsmc28nm_100_MHz,2.51999998,2.848103978,3.630059974,5.395823967,2.631761977,3.2006519729999994,4.636043964000001,1.045248,2.018263,3.976977,7.966755,2.018263,3.976977,7.966755,1.443e-09,1.491e-09,1.6519999999999999e-09,2.0349999999999997e-09,1.453e-09,1.525e-09,1.815e-09
MDU_drsu_fd_ieee_rv32gc_tsmc28nm_100_MHz,4.494167965,5.105393961,6.268121955,8.592695946000001,4.52239196,5.441309952999999,7.303337943000001,1.045248,2.018263,3.976977,7.966755,2.018263,3.976977,7.966755,2.4170000000000002e-09,2.5310000000000005e-09,2.732e-09,3.165e-09,2.371e-09,2.502e-09,2.795e-09
MDU_drsu_fdq_ieee_rv32gc_tsmc28nm_100_MHz,8.733185934,9.835559928999999,11.996333918,16.705079897,8.659349925999999,10.330361913,13.98751189,1.399898,2.062258,4.147681,7.966755,2.018263,3.976977,7.966755,4.547e-09,4.711e-09,5.132e-09,6.035000000000001e-09,4.421e-09,4.681999999999999e-09,5.2550000000000006e-09
drsu_f_ieee_rv32gc_tsmc28nm_100_MHz,1.775591986,1.998863985,2.568509982,3.9044879769999996,1.782521984,2.1391019809999996,3.144707974,0.530928,0.983144,1.879080,3.753553,0.682410,1.331992,2.837434,9.36e-10,9.7e-10,1.1e-09,1.4199999999999999e-09,9.32e-10,9.73e-10,1.2e-09
drsu_fd_ieee_rv32gc_tsmc28nm_100_MHz,3.749759971,4.256153968,5.206571963,7.1013599560000005,3.673151967,4.3797599609999995,5.812001953,0.872067,1.533786,2.778444,5.129587,0.971938,1.766076,3.513643,1.9100000000000002e-09,2.0100000000000003e-09,2.18e-09,2.55e-09,1.85e-09,1.95e-09,2.18e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_100_MHz,7.98877794,8.986319936,10.934783926,15.213743907,7.810109933,9.268811921000001,12.4961759,1.399898,2.062258,4.147681,6.889462,1.576273,2.979222,5.933083,4.04e-09,4.19e-09,4.58e-09,5.420000000000001e-09,3.9e-09,4.13e-09,4.6400000000000005e-09
mdudiv_idiv_bitspercycle_rv32gc_tsmc28nm_100_MHz,0.744407994,0.8492399930000001,1.061549992,1.49133599,0.8492399930000001,1.061549992,1.49133599,1.045248,2.018263,3.976977,7.966755,2.018263,3.976977,7.966755,5.07e-10,5.21e-10,5.52e-10,6.149999999999999e-10,5.21e-10,5.52e-10,6.149999999999999e-10
drsu_f_ieee_rv64gc_tsmc28nm_100_MHz_IDIV,5.9950799749999995,6.663509971000001,7.9991099640000005,10.820879954,5.947955971000001,6.966161962,9.143315951,0.909526,1.406063,2.987292,5.448106,1.074810,2.006576,3.992603,3.0099999999999997e-09,3.17e-09,3.4599999999999996e-09,4.09e-09,2.98e-09,3.2e-09,3.63e-09
drsu_fd_ieee_rv64gc_tsmc28nm_100_MHz_IDIV,6.266861978,6.9342839739999995,8.269631966,11.090897957,6.219737973,7.237313964,9.413333952999999,0.909526,1.393005,2.985837,5.446321,1.074810,2.006569,3.967693,3.22e-09,3.3800000000000003e-09,3.71e-09,4.33e-09,3.18e-09,3.39e-09,3.8200000000000005e-09
drsu_fdq_ieee_rv64gc_tsmc28nm_100_MHz_IDIV,10.984049961999999,12.106457957,14.151437945,18.72763193,10.890179953999999,12.42259194,15.480863912999999,1.198993,2.014927,3.865830,7.306949,1.581433,2.984379,5.936208,5.27e-09,5.590000000000001e-09,6.04e-09,7.04e-09,5.25e-09,5.5000000000000004e-09,6.07e-09
MDU_drsu_f_ieee_rv64gc_tsmc28nm_100_MHz,3.328793977,3.766139974,4.766201969000001,8.293193988999999,3.549671973,4.336793968,7.533413985999999,1.994694,3.921505,7.798797,3.753553,3.921505,7.798797,3.029722,1.946e-09,1.99e-09,2.18e-09,2.76e-09,1.951e-09,2.0530000000000003e-09,2.54e-09
