Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (nJ)
binencoder,sky130,8,1000,1.0000,50.960001,24.761,0.010685929975270078
binencoder,sky130,16,1000,1.0000,136.220003,77.243,0.021773774467348
binencoder,sky130,32,1000,1.0000,372.400007,189.626,0.04371111111111111
binencoder,sky130,64,1000,1.0000,797.720015,382.205,0.07393850658857981
binencoder,sky130,128,900,1.1111,1602.300031,610.009,0.1261366969785861
adder,sky130,8,1700,0.588235,253.820005,154.438,0.10825587752870422
adder,sky130,16,1300,0.7692307,722.260013,485.109,0.32460910944935417
adder,sky130,32,1100,0.90909,1440.600027,714.057,0.6580226904376014
adder,sky130,64,950,1.0526315,2781.240054,1050.0,0.9392239364188874
adder,sky130,128,900,1.1111,6186.740118,2230.0,2.1480106100795755
csa,sky130,8,1000,1.0000,266.560005,154.202,0.13650573115665163
csa,sky130,16,1000,1.0000,533.12001,308.404,0.27263530601922104
csa,sky130,32,1000,1.0000,1066.240021,616.808,0.5448072247308093
csa,sky130,64,1000,1.0000,2132.480042,1230.0,1.0905412240768841
csa,sky130,128,1000,1.0000,4264.960083,2470.0,2.178553363682347
shifter,sky130,8,1000,1.0000,259.700005,196.451,0.07534088282874972
shifter,sky130,16,1000,1.0000,666.400006,558.433,0.19552906110283155
shifter,sky130,32,1000,1.0000,1475.880027,768.262,0.3807431082700759
shifter,sky130,64,1000,1.0000,3914.120062,2680.0,1.144802541988198
shifter,sky130,128,900,1.1111,9192.400136,6080.0,2.9008914525432616
comparator,sky130,8,1700,0.588235,200.900004,136.6,0.05001033271337053
comparator,sky130,16,1500,0.6666667,358.680007,189.253,0.06321553011448482
comparator,sky130,32,1300,0.7692307,690.900013,315.709,0.10771793448084398
comparator,sky130,64,1200,0.8333333,1372.980026,508.393,0.2048577820389901
comparator,sky130,128,1150,0.869565,2744.980052,796.047,0.34396273737011823
flop,sky130,8,1000,1.0000,133.279999,64.8145,0.193835
flop,sky130,16,1000,1.0000,266.5599975,129.629,0.38715000000000005
flop,sky130,32,1000,1.0000,533.119995,259.258,0.7723000000000001
flop,sky130,64,1000,1.0000,1066.23999,520.0,1.54955
flop,sky130,128,1000,1.0000,2132.4799805,1035.0,3.094
mux2,sky130,8,1000,1.0000,63.700001,21.541,0.01932440083034535
mux2,sky130,16,1000,1.0000,119.560002,32.354,0.03884536082474227
mux2,sky130,32,1000,1.0000,375.340008,259.372,0.13671796921846893
mux2,sky130,64,1000,1.0000,479.220009,115.22,0.15148539160324087
mux2,sky130,128,1000,1.0000,1302.420025,767.078,0.4665334665334665
mux4,sky130,8,1000,1.0000,148.960002,66.984,0.04026661024121879
mux4,sky130,16,1000,1.0000,392.0,398.313,0.1037037037037037
mux4,sky130,32,1000,1.0000,594.860011,331.197,0.131617289946576
mux4,sky130,64,1000,1.0000,899.640016,344.331,0.2862533692722372
mux4,sky130,128,1000,1.0000,2013.900038,818.249,0.6094182825484764
mux8,sky130,8,1000,1.0000,287.140006,116.648,0.06089260808926081
mux8,sky130,16,1000,1.0000,582.120003,282.366,0.14455681142177274
mux8,sky130,32,1000,1.0000,1319.079995,670.683,0.35777218376337316
mux8,sky130,64,1000,1.0000,2132.48004,808.482,0.44287680660701995
mux8,sky130,128,1000,1.0000,4575.620089,1830.0,0.9786276715410572
mul,sky130,8,1000,1.0000,2194.220041,1440.0,1.421374045801527
mul,sky130,16,1000,1.0000,7519.540137,4940.0,6.376128385155466
mul,sky130,32,1000,1.0000,25200.700446,14900.0,24.931847968545217
mul,sky130,64,1000,1.0000,86011.661365,42600.0,88.84651898734177
mul,sky130,128,800,1.2500,296198.144128,114000.0,273.3148854961832
binencoder,sky90,8,7683,0.12508649056358195,50.960001,24.761,0.010685929975270078
binencoder,sky90,16,5773,0.16977016282695304,136.220003,77.243,0.021773774467348
binencoder,sky90,32,4500,0.2218912222222222,372.400007,189.626,0.04371111111111111
binencoder,sky90,64,4098,0.2439914738897023,797.720015,382.205,0.07393850658857981
binencoder,sky90,128,3409,0.2933331557641537,1602.300031,610.009,0.1261366969785861
adder,sky90,8,3658,0.27337042810278844,253.820005,154.438,0.10825587752870422
adder,sky90,16,2942,0.3393218266485384,722.260013,485.109,0.32460910944935417
adder,sky90,32,2468,0.40496338573743923,1440.600027,714.057,0.6580226904376014
adder,sky90,64,2139,0.4674681813931744,2781.240054,1050.0,0.9392239364188874
adder,sky90,128,1885,0.5304949787798409,6186.740118,2230.0,2.1480106100795755
csa,sky90,8,5758,0.16536141368530738,266.560005,154.202,0.13650573115665163
csa,sky90,16,5931,0.1654056314280897,533.12001,308.404,0.27263530601922104
csa,sky90,32,5758,0.16536141368530738,1066.240021,616.808,0.5448072247308093
csa,sky90,64,5931,0.1654056314280897,2132.480042,1230.0,1.0905412240768841
csa,sky90,128,5931,0.1654056314280897,4264.960083,2470.0,2.178553363682347
shifter,sky90,8,4327,0.23025600254217704,259.700005,196.451,0.07534088282874972
shifter,sky90,16,3355,0.29803959314456036,666.400006,558.433,0.19552906110283155
shifter,sky90,32,2503,0.39951757530962845,1475.880027,768.262,0.3807431082700759
shifter,sky90,64,2203,0.45385946391284615,3914.120062,2680.0,1.144802541988198
shifter,sky90,128,1907,0.5242938489774515,9192.400136,6080.0,2.9008914525432616
comparator,sky90,8,4839,0.20629126741062204,200.900004,136.6,0.05001033271337053
comparator,sky90,16,4018,0.24806303982080635,358.680007,189.253,0.06321553011448482
comparator,sky90,32,3602,0.276293542476402,690.900013,315.709,0.10771793448084398
comparator,sky90,64,3129,0.31954192361776923,1372.980026,508.393,0.2048577820389901
