Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (nJ)
mux2,sky90,1,12770,0.08300853563038371,13.72,12.3,0.0039075959279561475
comparator,sky90,32,3674,0.2733739069134458,699.720013,330.048,0.108056614044638
mux4,tsmc28,16,15167,0.0651646168655634,32.886,134.911,0.010127249950550539
priorityencoder,sky90,8,7522,0.1322263661260303,47.040001,18.57,0.010276522201542142
add,tsmc28,64,8534,0.12049834544176237,447.300003,2220.0,0.1683852823998125
mux4,sky90,16,4529,0.263597293442261,358.680007,100.453,0.07948774563921396
mux8,tsmc28,1,17693,0.060110527496750124,9.072,57.908,0.002797716611089131
mult,sky90,8,1389,0.7681404046076313,2209.900042,1430.0,1.470842332613391
add,sky90,8,3439,0.2897002041291073,243.040005,146.139,0.11805757487641758
priorityencoder,tsmc28,32,17451,0.058905306400779324,66.15,236.198,0.009907741676694747
shiftleft,tsmc28,16,10,0.16585499999999342,43.722,137.701,0.01291
mux8d,sky90,1,10,0.22809599999999364,34.300001,4.606,0.00609
comparator,sky90,32,3890,0.2804184087403599,745.780014,371.064,0.12262210796915168
mux2,sky90,8,5299,0.1883518518588413,63.700001,21.541,0.01932440083034535
flop,sky90,8,9270,0.11434386515641856,133.279999,64.8145,0.19360302049622438
mult,tsmc28,32,2973,0.3363555785401951,5141.430011,36900.0,5.416414396232761
mux4,tsmc28,64,13926,0.07180612868016659,137.465999,648.086,0.04574177796926612
csa,sky90,32,5998,0.16643624074691563,1178.940023,650.306,0.6495498499499833
flop,sky90,32,8921,0.11434405660800359,533.119995,259.258,0.7742405559914808
mux8,sky90,128,2453,0.40739008479412964,3629.920071,818.07,0.7240114145943742
csa,tsmc28,32,24524,0.040663382319360626,209.664,1930.0,0.08677214157559941
mult,tsmc28,128,1943,0.525260039114771,48676.82422,299000.0,55.878023674729796
priorityencoder,tsmc28,16,20828,0.048207291146533514,20.79,73.76,0.003797772229690801
csa,tsmc28,8,22562,0.04244531185178619,31.248001,240.54,0.013850722453683184
mux8,sky90,16,3636,0.28388450275027505,608.580012,247.862,0.13091309130913092
mult,tsmc28,8,5301,0.19483965214110546,531.468,3930.0,0.35106583663459723
csa,sky90,128,6294,0.16536147442008264,6117.160119,3640.0,2.729583730537019
mux8,sky90,128,2667,0.3749401308586427,4575.620089,1830.0,0.9786276715410572
shiftleft,tsmc28,16,12748,0.08287467743959838,125.243999,615.906,0.03451521807342328
add,tsmc28,32,10597,0.10036333009342267,240.030002,1260.0,0.09266773615174106
flop,sky90,64,8221,0.1143447031991242,1066.23999,520.0,1.5482909621700522
csa,tsmc28,32,24034,0.04077672239327619,197.567999,1890.0,0.08558708496296911
flop,sky90,32,8571,0.11434450029168125,533.119995,259.258,0.774180375685451
mux4d,tsmc28,1,30585,0.03259276589831617,2.898,17.893,0.0008850743828674187
mux8,tsmc28,128,9636,0.10367850103777501,559.943997,2620.0,0.14061851390618516
csa,tsmc28,32,23543,0.04244547041583485,124.992002,962.249,0.05509068512933781
flop,sky90,8,8746,0.11434398307797851,133.279999,64.8145,0.19362565744340268
mux4,sky90,128,3231,0.3096037022593624,2019.780039,760.934,0.6196224079232435
mux2,tsmc28,128,15972,0.06228256674179814,173.502,1060.0,0.055033809166040566
mux2,sky90,64,4396,0.24216452684258416,487.060007,132.876,0.16014558689717925
csa,tsmc28,16,25995,0.040894936333910364,100.799999,947.479,0.0430467397576457
priorityencoder,sky90,32,4596,0.2183225047867711,367.500007,196.77,0.04564838990426458
flop,tsmc28,128,20454,0.04889119262735895,241.919998,1260.0,0.43563606140608185
mux8d,sky90,1,7754,0.13242769512509672,89.180001,45.284,0.015991746195511993
mult,tsmc28,16,4125,0.25523324242424245,2007.432002,15100.0,1.7086060606060607
mux2,sky90,32,4702,0.21088845725223307,368.480007,245.044,0.1344108889834113
comparator,tsmc28,128,10,0.6097180000000009,256.787999,853.776,0.0566
csa,sky90,32,5518,0.1796730815512867,1150.520022,813.107,0.5889815150416817
add,tsmc28,32,10,0.9349590000000063,67.157999,230.644,0.0324
csa,sky90,64,5931,0.1654056314280897,2132.480042,1230.0,1.0905412240768841
comparator,sky90,32,3314,0.30097215087507545,694.820014,185.626,0.09897404948702472
mux8,sky90,32,10,0.9133680000000055,822.220016,56.003,0.1386
mux4,sky90,128,3324,0.30201935860409146,2346.12003,1140.0,0.7806859205776172
add,tsmc28,8,13561,0.07281987456677236,31.878,172.3,0.012683430425484846
mux2,sky90,64,4059,0.2456681000246366,514.50001,165.954,0.164079822616408
mux8,sky90,16,3293,0.30339846097783174,678.160006,347.764,0.17096872153051929
mult,tsmc28,16,3743,0.2671573753673524,1399.734003,9840.0,1.2831952978893935
csa,tsmc28,8,10,0.06758100000000411,17.136,57.229,0.00721
comparator,sky90,64,2942,0.33983282664853837,1331.820026,241.079,0.1947654656696125
csa,sky90,16,5810,0.1707250395869191,572.320011,399.957,0.2900172117039587
mux4,sky90,16,4486,0.22884773785109228,436.100003,418.878,0.10365581810075791
add,tsmc28,8,13838,0.07207477814713109,34.272,187.089,0.013311172134701546
add,tsmc28,64,8041,0.12432664146250468,391.860003,1880.0,0.14911080711354308
mux4,sky90,64,3710,0.26931477897574124,899.640016,344.331,0.2862533692722372
mux8,sky90,128,2560,0.390515,4343.360071,1680.0,0.93203125
shiftleft,sky90,32,2353,0.4249323752656184,1232.840023,566.074,0.32171695707607306
csa,sky90,16,5931,0.1654056314280897,533.12001,308.404,0.27263530601922104
mux2,sky90,64,3826,0.25709657658128593,462.560009,162.042,0.16989022477783589
mult,sky90,32,794,1.3013988438287152,26529.580464,17000.0,26.575566750629722
mult,tsmc28,128,1905,0.5249343832020997,47318.418271,290000.0,54.71338582677165
mux2,sky90,64,4543,0.2432308641866608,491.96001,108.197,0.14990094651111602
add,sky90,16,2883,0.351801908775581,694.82001,489.311,0.3315990287894554
csa,tsmc28,128,25505,0.04036599843168006,806.399994,7610.0,0.3412272103509115
mux8,tsmc28,128,9846,0.10152608693885842,674.477993,2900.0,0.1568149502335974
mux2,sky90,8,4981,0.1993458990162618,59.780001,23.364,0.021702469383657903
mux2,sky90,32,3700,0.2533642702702703,227.360004,74.563,0.08324324324324324
shiftleft,tsmc28,128,6883,0.1452804859799506,1687.769984,7890.0,0.49716693302339093
mux4,sky90,16,4750,0.25584431578947364,359.660007,120.182,0.07389473684210526
mux8,tsmc28,32,10,0.16755700000000218,105.713999,407.748,0.01928
mux2,tsmc28,64,17825,0.055663981767180924,83.033999,417.316,0.023338008415147268
shiftleft,sky90,64,2247,0.4693798282153983,3562.300063,1920.0,0.9403649310191367
