f64 DIV RNE
0010000000000000_3fffffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
0010000000000000_4000000000000000_0000000000000000_11000_1 | 0008000000000000_0
0010000000000000_4000000000000001_0000000000000000_11100_1 | 0008000000000000_0
0010000000000000_400fffffffffffff_0000000000000000_11100_1 | 0004000000000000_0
0010000000000000_400ffffffffffffe_0000000000000000_11100_1 | 0004000000000000_0
0010000000000000_4010000000000000_0000000000000000_11100_1 | 0004000000000000_0
0010000000000000_4010000000000001_0000000000000000_11000_1 | 0004000000000000_0
0010000000000000_401fffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
0010000000000000_401ffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
0010000000000000_bfffffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
0010000000000000_c000000000000000_8000000000000000_11000_1 | 8008000000000000_0
0010000000000000_c000000000000001_8000000000000000_11100_1 | 8008000000000000_0
0010000000000000_c00fffffffffffff_8000000000000000_11100_1 | 8004000000000000_0
0010000000000000_c00ffffffffffffe_8000000000000000_11100_1 | 8004000000000000_0
0010000000000000_c010000000000000_8000000000000000_11100_1 | 8004000000000000_0
0010000000000000_c010000000000001_8000000000000000_11000_1 | 8004000000000000_0
0010000000000000_c01fffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
0010000000000000_c01ffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
0010000000000001_4000000000000000_0000000000000000_11000_1 | 0008000000000000_0
0010000000000001_4000000000000001_0000000000000000_11000_1 | 0008000000000000_0
0010000000000001_400fffffffffffff_0000000000000000_11100_1 | 0004000000000000_0
0010000000000001_4010000000000000_0000000000000000_11100_1 | 0004000000000000_0
0010000000000001_4010000000000001_0000000000000000_11100_1 | 0004000000000000_0
0010000000000001_401fffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
0010000000000001_401ffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
0010000000000001_c000000000000000_8000000000000000_11000_1 | 8008000000000000_0
0010000000000001_c000000000000001_8000000000000000_11000_1 | 8008000000000000_0
0010000000000001_c00fffffffffffff_8000000000000000_11100_1 | 8004000000000000_0
0010000000000001_c010000000000000_8000000000000000_11100_1 | 8004000000000000_0
0010000000000001_c010000000000001_8000000000000000_11100_1 | 8004000000000000_0
0010000000000001_c01fffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
0010000000000001_c01ffffffffffffe_8000000000000000_11000_1 | 8002000000000000_0
001fffffffffffff_4000000000000000_0000000000000000_11000_1 | 0010000000000000_0
001fffffffffffff_400fffffffffffff_0000000000000000_11000_1 | 0008000000000000_0
001fffffffffffff_400ffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
001fffffffffffff_4010000000000000_0000000000000000_11100_1 | 0008000000000000_0
001fffffffffffff_401fffffffffffff_0000000000000000_11100_1 | 0004000000000000_0
001fffffffffffff_401ffffffffffffe_0000000000000000_11100_1 | 0004000000000000_0
001fffffffffffff_c000000000000000_8000000000000000_11000_1 | 8010000000000000_0
001fffffffffffff_c00fffffffffffff_8000000000000000_11000_1 | 8008000000000000_0
001fffffffffffff_c00ffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
001fffffffffffff_c010000000000000_8000000000000000_11100_1 | 8008000000000000_0
001fffffffffffff_c01fffffffffffff_8000000000000000_11100_1 | 8004000000000000_0
001fffffffffffff_c01ffffffffffffe_8000000000000000_11100_1 | 8004000000000000_0
001ffffffffffffe_400fffffffffffff_0000000000000000_11100_1 | 0008000000000000_0
001ffffffffffffe_400ffffffffffffe_0000000000000000_11000_1 | 0008000000000000_0
001ffffffffffffe_4010000000000000_0000000000000000_11100_1 | 0008000000000000_0
001ffffffffffffe_401fffffffffffff_0000000000000000_11000_1 | 0004000000000000_0
001ffffffffffffe_401ffffffffffffe_0000000000000000_11100_1 | 0004000000000000_0
001ffffffffffffe_c00fffffffffffff_8000000000000000_11100_1 | 8008000000000000_0
001ffffffffffffe_c00ffffffffffffe_8000000000000000_11000_1 | 8008000000000000_0
001ffffffffffffe_c010000000000000_8000000000000000_11100_1 | 8008000000000000_0
001ffffffffffffe_c01fffffffffffff_8000000000000000_11000_1 | 8004000000000000_0
001ffffffffffffe_c01ffffffffffffe_8000000000000000_11100_1 | 8004000000000000_0
3fd0000000000000_7fe0000000000000_0000000000000000_11000_1 | 0002000000000000_0
3fd0000000000000_7fe0000000000001_0000000000000000_11000_1 | 0002000000000000_0
3fd0000000000000_7fefffffffffffff_0000000000000000_11000_1 | 0001000000000000_0
3fd0000000000000_7feffffffffffffe_0000000000000000_11000_1 | 0001000000000000_0
3fd0000000000000_ffe0000000000000_8000000000000000_11000_1 | 8002000000000000_0
3fd0000000000000_ffe0000000000001_8000000000000000_11000_1 | 8002000000000000_0
3fd0000000000000_ffefffffffffffff_8000000000000000_11000_1 | 8001000000000000_0
3fd0000000000000_ffeffffffffffffe_8000000000000000_11000_1 | 8001000000000000_0
3fd0000000000001_7fe0000000000000_0000000000000000_11000_1 | 0002000000000000_0
3fd0000000000001_7fe0000000000001_0000000000000000_11000_1 | 0002000000000000_0
3fd0000000000001_7fefffffffffffff_0000000000000000_11000_1 | 0001000000000000_0
3fd0000000000001_7feffffffffffffe_0000000000000000_11000_1 | 0001000000000000_0
3fd0000000000001_ffe0000000000000_8000000000000000_11000_1 | 8002000000000000_0
3fd0000000000001_ffe0000000000001_8000000000000000_11000_1 | 8002000000000000_0
3fd0000000000001_ffefffffffffffff_8000000000000000_11000_1 | 8001000000000000_0
3fd0000000000001_ffeffffffffffffe_8000000000000000_11000_1 | 8001000000000000_0
3fdfffffffffffff_7fe0000000000000_0000000000000000_11000_1 | 0004000000000000_0
3fdfffffffffffff_7fe0000000000001_0000000000000000_11000_1 | 0004000000000000_0
3fdfffffffffffff_7fefffffffffffff_0000000000000000_11000_1 | 0002000000000000_0
3fdfffffffffffff_7feffffffffffffe_0000000000000000_11000_1 | 0002000000000000_0
3fdfffffffffffff_ffe0000000000000_8000000000000000_11000_1 | 8004000000000000_0
3fdfffffffffffff_ffe0000000000001_8000000000000000_11000_1 | 8004000000000000_0
3fdfffffffffffff_ffefffffffffffff_8000000000000000_11000_1 | 8002000000000000_0
