4180000000000000 0000000000000000 | xxxxxxxxxxxxxxxx xx x
4180000000000000 0000000000000000 | xxxxxxxxxxxxxxxx xx x
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
4180000000000000 0000000000000000 | 0000000000000000 00 0
